"","name","state","pop2000","pop2010","pop2017","poverty","unemployment_rate"
"747","Newton County","Indiana",14566,14244,14130,14,4.86
"748","Noble County","Indiana",46275,47536,47452,9.3,3.1
"749","Ohio County","Indiana",5623,6128,5828,5,3.61
"750","Orange County","Indiana",19306,19840,19426,15,3.93
"751","Owen County","Indiana",21786,21575,20839,15.6,4.35
"752","Parke County","Indiana",17241,17339,16886,13.9,4.02
"753","Perry County","Indiana",18899,19338,19081,14.5,3.81
"754","Pike County","Indiana",12837,12845,12365,10.6,3.32
"755","Porter County","Indiana",146798,164343,168404,11,4.06
"756","Posey County","Indiana",27061,25910,25595,9.5,3.03
"757","Pulaski County","Indiana",13755,13402,12534,13.2,3.49
"758","Putnam County","Indiana",36019,37963,37702,11.6,3.63
"759","Randolph County","Indiana",27401,26171,24922,17,4.14
"760","Ripley County","Indiana",26523,28818,28442,10.5,3.57
"761","Rush County","Indiana",18261,17392,16645,18.3,3.05
"762","St. Joseph County","Indiana",265559,266931,270434,17.1,3.57
"763","Scott County","Indiana",22960,24181,23870,13.7,3.79
"764","Shelby County","Indiana",43445,44436,44395,10.6,3.3
"765","Spencer County","Indiana",20391,20952,20394,9.7,3.36
"766","Starke County","Indiana",23556,23363,22893,16.7,4.39
"767","Steuben County","Indiana",33214,34185,34484,10.1,2.9
"768","Sullivan County","Indiana",21751,21475,20746,15.6,4.43
"769","Switzerland County","Indiana",9065,10613,10696,19.7,3.99
"770","Tippecanoe County","Indiana",148955,172780,190587,20.9,3.22
"771","Tipton County","Indiana",16577,15936,15128,9.4,3.06
"772","Union County","Indiana",7349,7516,7200,8.2,3.12
"773","Vanderburgh County","Indiana",171922,179703,181616,18,3.25
"774","Vermillion County","Indiana",16788,16212,15505,13.4,5.4
"775","Vigo County","Indiana",105848,107848,107516,19.9,4.25
"776","Wabash County","Indiana",34960,32888,31443,13.3,3.51
"777","Warren County","Indiana",8419,8508,8201,9.5,3.36
"778","Warrick County","Indiana",52383,59689,62530,7.7,3.15
"779","Washington County","Indiana",27223,28262,27827,13.3,3.7
"780","Wayne County","Indiana",71097,68917,66185,18.2,3.76
"781","Wells County","Indiana",27600,27636,27984,11,2.95
"782","White County","Indiana",25267,24643,24182,9.8,3.31
"783","Whitley County","Indiana",30707,33292,33756,9.5,2.92
"784","Adair County","Iowa",8243,7682,7054,9.5,2.8
"785","Adams County","Iowa",4482,4029,3686,11.2,2.39
"786","Allamakee County","Iowa",14675,14330,13884,11.4,4.03
"787","Appanoose County","Iowa",13721,12887,12352,17.1,3.81
"788","Audubon County","Iowa",6830,6119,5578,11.1,3.12
"789","Benton County","Iowa",25308,26076,25642,8.7,3.27
"790","Black Hawk County","Iowa",128012,131090,132648,15.9,3.8
"791","Boone County","Iowa",26224,26306,26484,9.4,2.47
"792","Bremer County","Iowa",23325,24276,24911,7.7,2.83
"793","Buchanan County","Iowa",21093,20958,21202,7.8,3.24
"794","Buena Vista County","Iowa",20411,20260,20110,13.7,2.68
"795","Butler County","Iowa",15305,14867,14606,9.4,3.63
"796","Calhoun County","Iowa",11115,9670,9746,15.3,3.07
"797","Carroll County","Iowa",21421,20816,20320,10.3,2.31
"798","Cass County","Iowa",14684,13956,13145,15.1,3.6
"799","Cedar County","Iowa",18187,18499,18543,5.4,2.91
"800","Cerro Gordo County","Iowa",46447,44151,43006,11.3,3.08
"801","Cherokee County","Iowa",13035,12072,11316,11.9,2.55
"802","Chickasaw County","Iowa",13095,12439,12005,8.9,3.19
"803","Clarke County","Iowa",9133,9286,9374,15.4,3.13
"804","Clay County","Iowa",17372,16667,16170,11.8,3.75
"805","Clayton County","Iowa",18678,18129,17637,10.4,3.97
"806","Clinton County","Iowa",50149,49116,47010,13.1,4.1
"807","Crawford County","Iowa",16942,17096,17056,18.5,4.14
"808","Dallas County","Iowa",40750,66135,87235,5.4,2.14
"809","Davis County","Iowa",8541,8753,8966,13.7,3.34
"810","Decatur County","Iowa",8689,8457,7950,19.1,2.64
"811","Delaware County","Iowa",18404,17764,17153,9.2,2.69
"812","Des Moines County","Iowa",42351,40325,39417,15.3,4.25
"813","Dickinson County","Iowa",16424,16667,17199,8.1,3.66
"814","Dubuque County","Iowa",89143,93653,97041,11.9,3.01
"815","Emmet County","Iowa",11027,10302,9432,13.8,3.22
"816","Fayette County","Iowa",22008,20880,19796,12.8,3.71
"817","Floyd County","Iowa",16900,16303,15744,15.6,3.25
"818","Franklin County","Iowa",10704,10680,10164,15.6,2.77
"819","Fremont County","Iowa",8010,7441,6948,11,2.61
"820","Greene County","Iowa",10366,9336,8981,10,2.79
"821","Grundy County","Iowa",12369,12453,12333,5.8,2.95
"822","Guthrie County","Iowa",11353,10954,10670,10.1,3.2
"823","Hamilton County","Iowa",16438,15673,15115,9.4,3.26
"824","Hancock County","Iowa",12100,11341,10771,9.1,2.61
"825","Hardin County","Iowa",18812,17534,17048,8,3.23
"826","Harrison County","Iowa",15666,14928,14136,10.4,2.74
"827","Henry County","Iowa",20336,20145,19863,12.2,2.99
"828","Howard County","Iowa",9932,9566,9228,11.6,3.05
"829","Humboldt County","Iowa",10381,9815,9564,13,3.05
"830","Ida County","Iowa",7837,7089,6865,10.3,2.36
"831","Iowa County","Iowa",15671,16355,16103,9.8,2.64
"832","Jackson County","Iowa",20296,19848,19366,12,3.42
"833","Jasper County","Iowa",37213,36842,36966,9.1,3.14
"834","Jefferson County","Iowa",16181,16843,18422,15.2,3.12
"835","Johnson County","Iowa",111006,130882,149210,17.7,2.49
"836","Jones County","Iowa",20221,20638,20536,9.1,3.67
"837","Keokuk County","Iowa",11400,10511,10153,11.2,3.6
"838","Kossuth County","Iowa",17163,15543,14999,10,2.41
"839","Lee County","Iowa",38052,35862,34295,16.3,5.51
"840","Linn County","Iowa",191701,211226,224115,9.5,3.37
"841","Louisa County","Iowa",12183,11387,11184,11,3.3
"842","Lucas County","Iowa",9422,8898,8534,9.9,2.84
"843","Lyon County","Iowa",11763,11581,11792,4.9,1.76
"844","Madison County","Iowa",14019,15679,16013,7.3,3.61
"845","Mahaska County","Iowa",22335,22381,22235,14.4,3.28
"846","Marion County","Iowa",32052,33309,33105,9.3,2.65
"847","Marshall County","Iowa",39311,40648,40288,11.2,4.61
"848","Mills County","Iowa",14547,15059,15068,9.1,2.77
"849","Mitchell County","Iowa",10874,10776,10631,8.3,2.17
"850","Monona County","Iowa",10020,9243,8740,14.9,3.69
"851","Monroe County","Iowa",8016,7970,7845,10.9,3.82
"852","Montgomery County","Iowa",11771,10740,10137,16.5,3.17
"853","Muscatine County","Iowa",41722,42745,42880,10.5,3.31
"854","O'Brien County","Iowa",15102,14398,13801,9.7,2.44
"855","Osceola County","Iowa",7003,6462,6045,11.4,2.1
"856","Page County","Iowa",16976,15932,15224,13.6,4.01
"857","Palo Alto County","Iowa",10147,9421,9092,7.1,2.69
"858","Plymouth County","Iowa",24849,24986,25220,9.1,2.42
"859","Pocahontas County","Iowa",8662,7310,6846,13.2,2.48
"860","Polk County","Iowa",374601,430640,481830,11.7,3.07
"861","Pottawattamie County","Iowa",87704,93158,93386,11.2,2.79
"862","Poweshiek County","Iowa",18815,18914,18314,10.7,3.16
"863","Ringgold County","Iowa",5469,5131,5034,10.9,3.08
"864","Sac County","Iowa",11529,10350,9817,9.4,2.84
"865","Scott County","Iowa",158668,165224,172509,12.3,3.7
"866","Shelby County","Iowa",13173,12167,11628,8.7,2.43
"867","Sioux County","Iowa",31589,33704,34860,7.9,2.02
"868","Story County","Iowa",79981,89542,97502,22,2
"869","Tama County","Iowa",18103,17767,17058,11.8,3.49
"870","Taylor County","Iowa",6958,6317,6178,11,2.26
"871","Union County","Iowa",12309,12534,12450,13.8,3.14
"872","Van Buren County","Iowa",7809,7570,7157,14,3.09
"873","Wapello County","Iowa",36051,35625,35044,17,4.56
"874","Warren County","Iowa",40671,46225,50163,6.2,2.75
"875","Washington County","Iowa",20670,21704,22281,9.1,2.91
"876","Wayne County","Iowa",6730,6403,6476,15.9,3.09
"877","Webster County","Iowa",40235,38013,36605,16.2,3.77
"878","Winnebago County","Iowa",11723,10866,10587,10.1,3.18
"879","Winneshiek County","Iowa",21310,21056,20201,8,3.12
"880","Woodbury County","Iowa",103877,102172,102429,14,3.21
"881","Worth County","Iowa",7909,7598,7469,10.1,3.08
"882","Wright County","Iowa",14334,13229,12784,12.6,3.46
"883","Allen County","Kansas",14385,13371,12519,14.2,4.87
"884","Anderson County","Kansas",8110,8102,7833,13.6,3.96
"885","Atchison County","Kansas",16774,16924,16332,18.5,5.17
"886","Barber County","Kansas",5307,4861,4586,15.9,2.87
"887","Barton County","Kansas",28205,27674,26476,15.7,3.62
"888","Bourbon County","Kansas",15379,15173,14754,17.6,4.5
"889","Brown County","Kansas",10724,9984,9641,13.2,3.21
"890","Butler County","Kansas",59482,65880,66878,10.8,3.76
"891","Chase County","Kansas",3030,2790,2683,12.6,2.64
"892","Chautauqua County","Kansas",4359,3669,3363,14.3,4.7
"893","Cherokee County","Kansas",22605,21603,20115,13.7,3.88
"894","Cheyenne County","Kansas",3165,2726,2683,11.2,2.59
"895","Clark County","Kansas",2390,2215,2004,8.9,2.54
"896","Clay County","Kansas",8822,8535,7958,9.4,3.76
"897","Cloud County","Kansas",10268,9533,8991,11.9,4.36
"898","Coffey County","Kansas",8865,8601,8224,11.3,5.26
"899","Comanche County","Kansas",1967,1891,1790,8.1,2.93
"900","Cowley County","Kansas",36291,36311,35361,16,3.8
"901","Crawford County","Kansas",38242,39134,39034,21.1,4.18
"902","Decatur County","Kansas",3472,2961,2885,17.5,3.08
"903","Dickinson County","Kansas",19344,19754,18902,11.6,3.83
"904","Doniphan County","Kansas",8249,7945,7727,13.7,3.46
"905","Douglas County","Kansas",99962,110826,120793,18.7,3.16
"906","Edwards County","Kansas",3449,3037,2893,10.2,3.04
"907","Elk County","Kansas",3261,2882,2498,13.5,4.27
"908","Ellis County","Kansas",27507,28452,28689,16.7,2.52
"909","Ellsworth County","Kansas",6525,6497,6330,11.4,3.1
"910","Finney County","Kansas",40523,36776,37084,16.2,2.67
"911","Ford County","Kansas",32458,33848,34381,16.2,2.79
"912","Franklin County","Kansas",24784,25992,25733,12.5,3.72
"913","Geary County","Kansas",27947,34362,33855,14.9,5.05
"914","Gove County","Kansas",3068,2695,2631,9,2.33
"915","Graham County","Kansas",2946,2597,2495,12.3,3.56
"916","Grant County","Kansas",7909,7829,7526,10,3.19
"917","Gray County","Kansas",5904,6006,5958,8.5,1.99
"918","Greeley County","Kansas",1534,1247,1249,11.5,1.82
"919","Greenwood County","Kansas",7673,6689,6123,12.4,4.27
"920","Hamilton County","Kansas",2670,2690,2640,9.3,2.36
"921","Harper County","Kansas",6536,6034,5590,16.8,3.73
"922","Harvey County","Kansas",32869,34684,34544,11.2,4.04
"923","Haskell County","Kansas",4307,4256,4053,13.3,2.25
"924","Hodgeman County","Kansas",2085,1916,1842,8.4,2.52
"925","Jackson County","Kansas",12657,13462,13318,9.9,3.13
"926","Jefferson County","Kansas",18426,19126,18998,8.3,3.56
"927","Jewell County","Kansas",3791,3077,2850,14.2,3.43
"928","Johnson County","Kansas",451086,544179,591178,5.6,3.01
"929","Kearny County","Kansas",4531,3977,3960,13.2,2.48
"930","Kingman County","Kansas",8673,7858,7360,7.6,3.66
"931","Kiowa County","Kansas",3278,2553,2485,8.7,2.53
"932","Labette County","Kansas",22835,21607,20145,17.8,4.53
"933","Lane County","Kansas",2155,1750,1559,10.7,3.39
"934","Leavenworth County","Kansas",68691,76227,81095,9,3.9
"935","Lincoln County","Kansas",3578,3241,3043,8.4,2.84
"936","Linn County","Kansas",9570,9656,9726,17.4,5.86
"937","Logan County","Kansas",3046,2756,2821,8.9,2.14
"938","Lyon County","Kansas",35935,33690,33392,18.6,3.8
"939","McPherson County","Kansas",29554,29180,28708,7.6,2.76
"940","Marion County","Kansas",13361,12660,11986,10.7,3.62
"941","Marshall County","Kansas",10965,10117,9745,8.9,2.79
"942","Meade County","Kansas",4631,4575,4303,12.2,2.43
"943","Miami County","Kansas",28351,32787,33461,7.7,3.73
"944","Mitchell County","Kansas",6932,6373,6128,14.8,2.72
"945","Montgomery County","Kansas",36252,35471,32556,17.5,5.23
"946","Morris County","Kansas",6104,5923,5455,9.8,3.12
"947","Morton County","Kansas",3496,3233,2740,8,3.71
"948","Nemaha County","Kansas",10717,10178,10118,10.8,2.42
"949","Neosho County","Kansas",16997,16512,16015,21.4,5.24
"950","Ness County","Kansas",3454,3107,2869,8.9,2.92
"951","Norton County","Kansas",5953,5671,5441,11.6,2.23
"952","Osage County","Kansas",16712,16295,15772,12.8,3.96
"953","Osborne County","Kansas",4452,3858,3610,15.5,2.79
"954","Ottawa County","Kansas",6163,6091,5863,9.7,3.07
"955","Pawnee County","Kansas",7233,6973,6680,7.8,3.33
"956","Phillips County","Kansas",6001,5642,5370,8.1,2.95
"957","Pottawatomie County","Kansas",18209,21604,23908,9.7,3.07
"958","Pratt County","Kansas",9647,9656,9547,10.9,3.29
"959","Rawlins County","Kansas",2966,2519,2497,8.7,2.26
"960","Reno County","Kansas",64790,64511,62510,14,3.87
"961","Republic County","Kansas",5835,4980,4691,11.7,2.8
"962","Rice County","Kansas",10761,10083,9660,16.4,3.22
"963","Riley County","Kansas",62843,71115,74172,22,3
"964","Rooks County","Kansas",5685,5181,5043,11.3,3.83
"965","Rush County","Kansas",3551,3307,3103,6.7,3.18
"966","Russell County","Kansas",7370,6970,6915,13.8,3.34
"967","Saline County","Kansas",53597,55606,54734,12.6,3.2
"968","Scott County","Kansas",5120,4936,4961,4.3,2.17
"969","Sedgwick County","Kansas",452869,498365,513687,14.7,4.22
"970","Seward County","Kansas",22510,22952,22159,18.8,3.51
"971","Shawnee County","Kansas",169871,177934,178187,13.2,3.66
"972","Sheridan County","Kansas",2813,2556,2527,4.8,2.27
"973","Sherman County","Kansas",6760,6010,5930,16.5,2.95
"974","Smith County","Kansas",4536,3853,3668,13.3,2.79
"975","Stafford County","Kansas",4789,4437,4207,14.5,3.3
"976","Stanton County","Kansas",2406,2235,2060,10.8,2.72
"977","Stevens County","Kansas",5463,5724,5612,16.8,3.2
"978","Sumner County","Kansas",25946,24132,23159,11.8,3.8
"979","Thomas County","Kansas",8180,7900,7788,11.1,2.58
"980","Trego County","Kansas",3319,3001,2884,4.8,3.34
"981","Wabaunsee County","Kansas",6885,7053,6874,6.1,3.19
"982","Wallace County","Kansas",1749,1485,1524,10.6,2.48
"983","Washington County","Kansas",6483,5799,5485,9.7,3
"984","Wichita County","Kansas",2531,2234,2125,4.4,2.4
"985","Wilson County","Kansas",10332,9409,8675,16.8,4.7
"986","Woodson County","Kansas",3788,3309,3147,20.6,4.47
"987","Wyandotte County","Kansas",157882,157505,165288,21.4,5.19
"988","Adair County","Kentucky",17244,18656,19485,21.5,6.33
"989","Allen County","Kentucky",17800,19956,20933,20,4.08
"990","Anderson County","Kentucky",19111,21421,22544,12,4.16
"991","Ballard County","Kentucky",8286,8249,8039,18.2,7.64
"992","Barren County","Kentucky",38033,42173,43801,22.9,4.57
"993","Bath County","Kentucky",11085,11591,12378,24,7.8
"994","Bell County","Kentucky",30060,28691,26894,38,7.85
"995","Boone County","Kentucky",85991,118811,130728,7.6,3.9
"996","Bourbon County","Kentucky",19360,19985,20029,16.6,4.62
"997","Boyd County","Kentucky",49752,49542,47979,19.3,7.14
"998","Boyle County","Kentucky",27697,28432,29924,15.5,5.02
"999","Bracken County","Kentucky",8279,8488,8267,21.4,5.83
"1000","Breathitt County","Kentucky",16100,13878,12946,36,8.52
"1001","Breckinridge County","Kentucky",18648,20059,20111,17.7,5.86
"1002","Bullitt County","Kentucky",61236,74319,80246,10.2,4.25
"1003","Butler County","Kentucky",13010,12690,12831,22,5.46
"1004","Caldwell County","Kentucky",13060,12984,12639,17.5,5.21
"1005","Calloway County","Kentucky",34177,37191,38919,22.4,4.44
"1006","Campbell County","Kentucky",88616,90336,92488,14.2,3.8
"1007","Carlisle County","Kentucky",5351,5104,4846,17.3,6.83
"1008","Carroll County","Kentucky",10155,10811,10713,27.7,4.72
"1009","Carter County","Kentucky",26889,27720,27144,21.5,9.57
"1010","Casey County","Kentucky",15447,15955,15750,26.6,4.68
"1011","Christian County","Kentucky",72265,73955,70416,19.7,6.09
"1012","Clark County","Kentucky",33144,35613,36046,15,4.65
"1013","Clay County","Kentucky",24556,21730,20366,39.5,8.49
"1014","Clinton County","Kentucky",9634,10272,10276,20,6.58
"1015","Crittenden County","Kentucky",9384,9315,9084,17.7,5.32
"1016","Cumberland County","Kentucky",7147,6856,6706,20.7,5.27
"1017","Daviess County","Kentucky",91545,96656,100374,15.8,4.43
"1018","Edmonson County","Kentucky",11644,12161,12226,20,5.98
"1019","Elliott County","Kentucky",6748,7852,7523,34.4,10.19
"1020","Estill County","Kentucky",15307,14672,14277,30.4,5.98
"1021","Fayette County","Kentucky",260512,295803,321959,18.6,3.65
"1022","Fleming County","Kentucky",13792,14348,14446,19.5,5.99
"1023","Floyd County","Kentucky",42441,39451,36271,30.7,8.14
"1024","Franklin County","Kentucky",47687,49285,50485,13.1,4.14
"1025","Fulton County","Kentucky",7752,6813,6192,25.3,7.19
"1026","Gallatin County","Kentucky",7870,8589,8776,13.4,4.61
"1027","Garrard County","Kentucky",14792,16912,17523,18.2,4.79
"1028","Grant County","Kentucky",22384,24662,24984,21.5,4.91
"1029","Graves County","Kentucky",37028,37121,37121,19.2,5.9
"1030","Grayson County","Kentucky",24053,25746,26358,25.7,6.03
"1031","Green County","Kentucky",11518,11258,11065,19,4.61
"1032","Greenup County","Kentucky",36891,36910,35518,16.5,7.62
"1033","Hancock County","Kentucky",8392,8565,8801,15.7,5.06
"1034","Hardin County","Kentucky",94174,105543,108071,14.2,4.62
"1035","Harlan County","Kentucky",33202,29278,26713,35.6,9.41
"1036","Harrison County","Kentucky",17983,18846,18781,16.4,4.56
"1037","Hart County","Kentucky",17445,18199,18757,23.1,4.37
"1038","Henderson County","Kentucky",44829,46250,45928,19.3,4.62
"1039","Henry County","Kentucky",15060,15416,16006,18.2,4.13
"1040","Hickman County","Kentucky",5262,4902,4520,14.8,7.15
"1041","Hopkins County","Kentucky",46519,46920,45547,17.2,4.83
"1042","Jackson County","Kentucky",13495,13494,13431,33,8.33
"1043","Jefferson County","Kentucky",693604,741096,771158,15,4.43
"1044","Jessamine County","Kentucky",39041,48586,53375,18,3.81
"1045","Johnson County","Kentucky",23445,23356,22594,24.1,8.17
"1046","Kenton County","Kentucky",151464,159720,165399,12.9,4
"1047","Knott County","Kentucky",17649,16346,15291,32.6,8.48
"1048","Knox County","Kentucky",31795,31883,31227,34.7,7.57
"1049","Larue County","Kentucky",13373,14193,14205,15.8,4.79
"1050","Laurel County","Kentucky",52715,58849,60174,24.6,5.89
"1051","Lawrence County","Kentucky",15569,15860,15719,24.5,8.88
"1052","Lee County","Kentucky",7916,7887,6570,32.7,8.35
"1053","Leslie County","Kentucky",12401,11310,10334,34.5,10.08
"1054","Letcher County","Kentucky",25277,24519,22339,30.5,9.17
"1055","Lewis County","Kentucky",14092,13870,13339,26.1,8.88
"1056","Lincoln County","Kentucky",23361,24742,24456,23.8,5.68
"1057","Livingston County","Kentucky",9804,9519,9269,16.2,7.54
"1058","Logan County","Kentucky",26573,26835,27060,17.4,4.37
"1059","Lyon County","Kentucky",8080,8314,8082,14.1,5.63
"1060","McCracken County","Kentucky",65514,65565,65385,17.1,6.08
"1061","McCreary County","Kentucky",17080,18306,17465,41,6.65
"1062","McLean County","Kentucky",9938,9531,9201,19.2,5.25
"1063","Madison County","Kentucky",70872,82916,91226,19.5,4.3
"1064","Magoffin County","Kentucky",13332,13333,12538,28.6,15.71
"1065","Marion County","Kentucky",18212,19820,19395,18.4,4.09
"1066","Marshall County","Kentucky",30125,31448,31382,10.8,5.9
"1067","Martin County","Kentucky",12578,12929,11452,29.8,7.3
"1068","Mason County","Kentucky",16800,17490,17174,18,6.09
"1069","Meade County","Kentucky",26349,28602,28154,13.1,5.18
"1070","Menifee County","Kentucky",6556,6306,6455,20.1,8.72
"1071","Mercer County","Kentucky",20817,21331,21521,16.7,4.86
"1072","Metcalfe County","Kentucky",10037,10099,10107,23.1,4.14
"1073","Monroe County","Kentucky",11756,10963,10659,23.5,3.83
"1074","Montgomery County","Kentucky",22554,26499,27928,23,6.57
"1075","Morgan County","Kentucky",13948,13923,13188,25.6,7.26
"1076","Muhlenberg County","Kentucky",31839,31499,30816,20.5,6.7
"1077","Nelson County","Kentucky",37477,43437,45640,11.4,4.39
"1078","Nicholas County","Kentucky",6813,7135,7130,27.8,5.35
"1079","Ohio County","Kentucky",22916,23842,24182,21.3,6.38
"1080","Oldham County","Kentucky",46178,60316,66415,5.6,3.52
"1081","Owen County","Kentucky",10547,10841,10765,16.7,4.3
"1082","Owsley County","Kentucky",4858,4755,4435,33,8.08
"1083","Pendleton County","Kentucky",14390,14877,14573,15.1,4.75
"1084","Perry County","Kentucky",29390,28712,26553,26.2,8.23
"1085","Pike County","Kentucky",68736,65024,58883,26.4,7.89
"1086","Powell County","Kentucky",13237,12613,12374,24.1,6.6
"1087","Pulaski County","Kentucky",56217,63063,64449,25.2,5.58
"1088","Robertson County","Kentucky",2266,2282,2134,30.4,6.21
"1089","Rockcastle County","Kentucky",16582,17056,16698,21,5.79
"1090","Rowan County","Kentucky",22094,23333,24517,26.7,5.77
"1091","Russell County","Kentucky",16315,17565,17775,25.3,7.16
"1092","Scott County","Kentucky",33061,47173,54873,11.5,3.74
"1093","Shelby County","Kentucky",33337,42074,47421,12.4,3.63
"1094","Simpson County","Kentucky",16405,17327,18108,17.4,4.55
"1095","Spencer County","Kentucky",11766,17061,18507,8.7,3.84
"1096","Taylor County","Kentucky",22927,24512,25472,23.1,4.68
"1097","Todd County","Kentucky",11971,12460,12243,20.1,4.07
"1098","Trigg County","Kentucky",12597,14339,14444,15.8,5.76
"1099","Trimble County","Kentucky",8125,8809,8561,15.2,4.98
"1100","Union County","Kentucky",15637,15007,14668,22.9,5.98
"1101","Warren County","Kentucky",92522,113792,128845,18,4.05
"1102","Washington County","Kentucky",10916,11717,12126,17,4.08
"1103","Wayne County","Kentucky",19923,20813,20716,23.2,7.59
"1104","Webster County","Kentucky",14120,13621,13018,21.4,5.26
"1105","Whitley County","Kentucky",35865,35637,36214,25.2,5.82
"1106","Wolfe County","Kentucky",7065,7355,7264,36.9,9
"1107","Woodford County","Kentucky",23208,24939,26368,14.5,3.27
"1108","Acadia Parish","Louisiana",58861,61773,62590,21.5,5.91
"1109","Allen Parish","Louisiana",25440,25764,25621,16.6,5.26
"1110","Ascension Parish","Louisiana",76627,107215,122948,11.7,4.28
"1111","Assumption Parish","Louisiana",23388,23421,22526,15.7,7.38
"1112","Avoyelles Parish","Louisiana",41481,42073,40980,23.7,6.16
"1113","Beauregard Parish","Louisiana",32986,35654,36928,17.3,5.34
"1114","Bienville Parish","Louisiana",15752,14353,13638,25.3,6.04
"1115","Bossier Parish","Louisiana",98310,116979,127634,16.4,4.5
"1116","Caddo Parish","Louisiana",252161,254969,246581,23.4,5.78
"1117","Calcasieu Parish","Louisiana",183577,192768,202445,16.8,3.94
"1118","Caldwell Parish","Louisiana",10560,10132,9950,26.2,5.74
"1119","Cameron Parish","Louisiana",9991,6839,6912,8.7,3.57
"1120","Catahoula Parish","Louisiana",10920,10407,9875,21.8,7.05
"1121","Claiborne Parish","Louisiana",16851,17195,15969,29.9,5.38
"1122","Concordia Parish","Louisiana",20247,20822,19866,31.2,7.88
"1123","De Soto Parish","Louisiana",25494,26656,27340,26.3,6.1
"1124","East Baton Rouge Parish","Louisiana",412852,440171,446268,19.1,4.4
"1125","East Carroll Parish","Louisiana",9421,7759,7126,48.2,11.13
"1126","East Feliciana Parish","Louisiana",21360,20267,19412,17.9,4.78
"1127","Evangeline Parish","Louisiana",35434,33984,33708,26.4,5.93
"1128","Franklin Parish","Louisiana",21263,20767,20260,28.8,7.51
"1129","Grant Parish","Louisiana",18698,22309,22336,20.2,6.31
"1130","Iberia Parish","Louisiana",73266,73240,72176,20.4,7.27
"1131","Iberville Parish","Louisiana",33320,33387,33027,19.3,6.15
"1132","Jackson Parish","Louisiana",15397,16274,15846,25.4,4.54
"1133","Jefferson Parish","Louisiana",455466,432552,439036,16.3,4.53
"1134","Jefferson Davis Parish","Louisiana",31435,31594,31477,19.6,4.85
"1135","Lafayette Parish","Louisiana",190503,221578,242485,16.6,4.9
"1136","Lafourche Parish","Louisiana",89974,96318,98426,16,5.24
"1137","LaSalle Parish","Louisiana",14282,14890,14933,24.8,4.71
"1138","Lincoln Parish","Louisiana",42509,46735,47744,31.2,5.19
"1139","Livingston Parish","Louisiana",91814,128026,138228,13.2,4.2
"1140","Madison Parish","Louisiana",13728,12093,11316,36.4,8.11
"1141","Morehouse Parish","Louisiana",31021,27979,25641,27.6,7.99
"1142","Natchitoches Parish","Louisiana",39080,39566,39021,31.9,5.97
"1143","Orleans Parish","Louisiana",484674,343829,393292,25.4,5.13
"1144","Ouachita Parish","Louisiana",147250,153720,155874,24.5,5.26
"1145","Plaquemines Parish","Louisiana",26757,23042,23348,19.3,4.62
"1146","Pointe Coupee Parish","Louisiana",22763,22802,22268,17.5,5.59
"1147","Rapides Parish","Louisiana",126337,131613,131648,19.5,5.62
"1148","Red River Parish","Louisiana",9622,9091,8536,20.4,5.23
"1149","Richland Parish","Louisiana",20981,20725,20411,28.2,6.11
"1150","Sabine Parish","Louisiana",23459,24233,24018,19.6,5.5
"1151","St. Bernard Parish","Louisiana",67229,35897,46202,19.7,5.23
"1152","St. Charles Parish","Louisiana",48072,52780,52749,12.2,4.5
"1153","St. Helena Parish","Louisiana",10525,11203,10363,26.4,6.57
"1154","St. James Parish","Louisiana",21216,22102,21367,15.6,6.58
"1155","St. John the Baptist Parish","Louisiana",43044,45924,43441,17.9,6.08
"1156","St. Landry Parish","Louisiana",87700,83384,83497,27.9,6.71
"1157","St. Martin Parish","Louisiana",48583,52160,54171,17.7,6.08
"1158","St. Mary Parish","Louisiana",53500,54650,50973,19.5,7.96
"1159","St. Tammany Parish","Louisiana",191268,233740,256327,10.8,4.27
"1160","Tangipahoa Parish","Louisiana",100588,121097,132497,21.9,5.66
"1161","Tensas Parish","Louisiana",6618,5252,4615,38,8.4
"1162","Terrebonne Parish","Louisiana",104503,111860,112086,20.1,5.69
"1163","Union Parish","Louisiana",22803,22721,22571,22,5.59
"1164","Vermilion Parish","Louisiana",53807,57999,60136,17.9,5.97
"1165","Vernon Parish","Louisiana",52531,52334,50726,16.9,6.46
"1166","Washington Parish","Louisiana",43926,47168,46633,26.3,5.77
"1167","Webster Parish","Louisiana",41831,41207,39378,24.9,6.87
"1168","West Baton Rouge Parish","Louisiana",21601,23788,26265,17.9,4.63
"1169","West Carroll Parish","Louisiana",12314,11604,10981,22,9.8
"1170","West Feliciana Parish","Louisiana",15111,15625,15380,12.5,4.2
"1171","Winn Parish","Louisiana",16894,15313,14311,27.3,6.46
"1172","Androscoggin County","Maine",103793,107702,107651,14.3,3.12
"1173","Aroostook County","Maine",73938,71870,67653,17.5,4.81
"1174","Cumberland County","Maine",265612,281674,292500,10.7,2.54
"1175","Franklin County","Maine",29467,30768,29988,12.4,4.02
"1176","Hancock County","Maine",51791,54418,54497,11.6,3.79
"1177","Kennebec County","Maine",117114,122151,121821,14.1,3.21
"1178","Knox County","Maine",39618,39736,39790,11.6,3.14
"1179","Lincoln County","Maine",33616,34457,34204,11.8,3.23
"1180","Oxford County","Maine",54755,57833,57439,15.2,3.77
"1181","Penobscot County","Maine",144919,153923,151957,15.9,3.71
"1182","Piscataquis County","Maine",17235,17535,16773,18.7,4.02
"1183","Sagadahoc County","Maine",35214,35293,35392,11.3,2.7
